Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,34.56640719,,,,,34.42116338,,,,,34.35679688,,,,,33.83616943,,,,,33.73751384,34.31820821,34.81603805,34.67049231,34.04127093,35.74922461,35.51494314,35.51298818,,,,
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,65.48679165,,,,,65.17951271,,,,,64.922462,,,,,64.52268271,,,,,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835,,,,
Africa Western and Central,AFW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,58.07963258,,,,,56.11179666,,,,,55.34709194,,,,,48.72238236,,,,,44.83127013,44.33968282,47.24374209,42.71854292,41.95220544,60.34263676,57.45888916,58.06448224,,,,
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.44811599,,,,,35.60290817,,,,,36.18296788,,,,,34.96291205,,,,,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491,,,,
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,22.71866324,,,,,22.02921828,,,,,21.99824816,,,,,21.57525796,,,,,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252,,,,
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,14.11874161,,,,,13.93686693,,,,,12.59401471,,,,,12.96137804,,,,,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139,,,,
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,53.30026609,,,,,52.54340838,,,,,53.06307635,,,,,52.39524948,,,,,53.7870016,52.65234123,53.29748197,54.05414827,52.58386059,60.40681308,58.76412484,58.68747494,,,,
United Arab Emirates,ARE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,39.82462869,,,,,39.77842718,,,,,39.69880052,,,,,38.98906239,,,,,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348,40.91750982,,,,
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,16.22053017,,,,,16.84606475,,,,,16.78094792,,,,,16.40308536,,,,,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403,13.31183395,,,,
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,36.8607211,,,,,35.12094162,,,,,36.79644697,,,,,37.06872924,,,,,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834,,,,
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,12.47908266,,,,,12.47908266,,,,,15.21466797,,,,,15.23784168,,,,,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024,,,,
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,22.40856353,,,,,22.45159506,,,,,21.97611804,,,,,22.13432961,,,,,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285,,,,
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,10.41185463,,,,,10.42639658,,,,,10.84372366,,,,,10.59713361,,,,,10.6188794,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508924,8.550324401,,,,
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,16.86668825,,,,,15.70612581,,,,,15.35536282,,,,,15.59206265,,,,,15.14913995,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605,12.47796673,,,,
Azerbaijan,AZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,23.94291482,,,,,23.39142886,,,,,22.880772,,,,,22.86570599,,,,,23.0476012,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664,19.92866362,,,,
Burundi,BDI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,41.24888833,,,,,40.0095359,,,,,40.95578012,,,,,40.14781299,,,,,38.38116825,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349,38.89626795,,,,
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,17.58749643,,,,,16.49606572,,,,,15.66245122,,,,,15.43635146,,,,,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847,,,,
Benin,BEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,40.2201361,,,,,38.07847163,,,,,39.77629324,,,,,34.3288089,,,,,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876,,,,
Burkina Faso,BFA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,46.01466126,,,,,45.10893352,,,,,44.88311167,,,,,39.33511519,,,,,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251,,,,
